page,section,inv_no,stock_item,stock_ref,unit,initial_stock,stock_in,stock_out,balance
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,WIPER MOTOR ELF,C2-3,SET,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,TIRE 295/75R 22.5 S2-3 2 PC 0 0 2 4 SIGNAL LIGHT(MINATURE LAMP),B3-4,PC,25.0,0.0,0.0,25.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,PC 2 0 0 2 4 TIRE 11 22.5 S2-4 1 PC 0 0 1 5 SEALED BEAM(#4RSB-2-12),B3-5,BOX,7.0,0.0,0.0,7.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,PRIME MOVER TRUCK STEREO,C2-5,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,S2-5 0 0 0 6 HEADLIGHT BULB (1255/H7),B3-6,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,FUEL WATER SEPARATOR,C2-6,SET,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,S2-6 0 7 HEADLIGHT (H4-HALOGEN),B3-7,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,GMT 30-32,C2-7,SET,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,S2-7 0 8 TRAILER LIGHT (RED),B3-8,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,HEAD GASKET (BLUE DAYCAB),C2-8,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,8,S2-8 0 9 TRAILER LIGHT (WHITE),B3-9,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,8,LEVELING VALVE (FOR COWL),C2-9,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,9,S2-9 0 10 TRAILER CLEARANCE LIGHT,B3-10,PC,18.0,0.0,0.0,18.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,9,SHOCK ABSORBER (BLUE),C2-10,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,10,S2-10 0 11 PLATE LIGHT 24V,B3-11,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,10,TRAILER HOSE,C2-11,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,11,S2-11 0 12 PORTABLE EMERGENCY LIGHT,B3-12,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,11,FITTINGS (MULTI-PURPOSE),C2-12,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,12,S2-12 0 13 DOUBLE CONTACT(24V),B3-13,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,12,FAN BELT (12PK CUMMINS EAGLE),C2-13,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,13,S2-13 0 14 RELAY FUSE (12V-BUSH),B3-14,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,13,FAN BELT 5360(ELF),C2-14,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,14,S2-14 0 15 STARTER FOR FLOURESCENT BULB,B3-15,PC,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,14,CLUTCH BOOSTER (FOR JAPAN),C2-15,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,15,S2-15 0 16 CIRCUIT FUSE (5AMP.),B3-16,PC,7.0,0.0,0.0,7.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,15,BRAKE LINING FU-509954,C2-16,PC,7.0,0.0,0.0,7.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,16,S2-16 0 17 OUTLET SWITCH (2 GANG),B3-17,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,16,BRAKE LINING,C2-17,PC,8.0,0.0,0.0,8.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,17,S2-17 0 18 TOGGLE SWITCH,B3-18,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,17,HAND TOP-5 ITEMS,C2-18,BOX,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,18,S2-18 0 19 FUSE BLADE,B3-19,PC,35.0,0.0,0.0,35.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,18,UMBRELLA NAILS FOR ROOFING,C2-19,KILO,0.5,0.0,0.0,0.5
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,19,S2-19 0 20 WIPER BLADE (ELF),B3-20,PC,2.0,0.0,0.0,2.0
